ENSG00000090975,PITPNM2
ENSG00000157680,DGKI
ENSG00000183454,GRIN2A
ENSG00000149091,DGKZ
ENSG00000170396,ZNF804A
ENSG00000154146,NRGN
ENSG00000130287,NCAN
ENSG00000164659,KIAA1324L
ENSG00000198822,GRM3
ENSG00000173114,LRRN3
ENSG00000164588,HCN1
ENSG00000164794,KCNV1
ENSG00000180720,CHRM4
ENSG00000155511,GRIA1
ENSG00000117020,AKT3
ENSG00000183117,CSMD1
ENSG00000185742,C11orf87
ENSG00000100167,SEPT3
ENSG00000100403,ZC3H7B
ENSG00000127152,BCL11B
ENSG00000174943,KCTD13
ENSG00000101445,PPP1R16B
ENSG00000204965,PCDHA5
ENSG00000158445,KCNB1
ENSG00000149527,PLCH2
ENSG00000198797,FAM5B
ENSG00000144619,CNTN4
ENSG00000148798,INA
ENSG00000242808,SOX2-OT
ENSG00000100346,CACNA1I
ENSG00000138172,CALHM2
ENSG00000115896,PLCL1
ENSG00000102882,MAPK3
ENSG00000187398,LUZP2
ENSG00000243232,PCDHAC2
ENSG00000149927,DOC2A
ENSG00000132563,REEP2
ENSG00000231255,
ENSG00000066248,NGEF
ENSG00000182732,RGS6
ENSG00000204406,MBD5
ENSG00000023171,GRAMD1B
ENSG00000079841,RIMS1
ENSG00000080854,IGSF9B
ENSG00000149295,DRD2
ENSG00000065413,ANKRD44
ENSG00000137841,PLCB2
ENSG00000172461,FUT9
ENSG00000248309,MEF2C-AS1
ENSG00000065609,SNAP91
ENSG00000088808,PPP1R13B
ENSG00000179912,R3HDM2
ENSG00000228393,
ENSG00000250120,PCDHA10
ENSG00000162426,SLC45A1
ENSG00000168917,SLC35G2
ENSG00000182057,
ENSG00000156103,MMP16
ENSG00000174939,ASPHD1
ENSG00000150625,GPM6A
ENSG00000168016,TRANK1
ENSG00000196628,TCF4
